epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.29724,1.38195,2.7334,1.49873,0.00333,1,0.82833,0.3157,1.63541,3.29421,1.35824,8e-05,8e-05,8e-05
2,11.6102,1.36548,2.44088,1.46408,0.00333,1,0.995,0.54709,1.28134,3.24691,1.17403,0.000176436,0.000176436,0.000176436
3,15.0482,1.13935,2.01852,1.29583,0.00333,1,0.995,0.62179,1.2106,3.09132,1.12961,0.000268912,0.000268912,0.000268912
4,21.2444,1.18014,1.70824,1.2541,0.80291,1,0.995,0.74563,1.1129,2.40038,1.21432,0.000357428,0.000357428,0.000357428
5,26.9307,1.26637,1.68539,1.33758,0.63998,1,0.82833,0.64563,1.0921,2.3235,1.28442,0.000441984,0.000441984,0.000441984
6,30.4237,1.26275,1.4832,1.30897,0.89064,0.5,0.745,0.57104,1.12547,2.52042,1.19218,0.00052258,0.00052258,0.00052258
7,35.9365,1.21639,1.53026,1.27585,1,0.87782,0.995,0.59658,1.46545,2.56243,1.59617,0.000599216,0.000599216,0.000599216
8,40.2592,1.16795,1.30141,1.21354,1,0.87782,0.995,0.59658,1.46545,2.56243,1.59617,0.000671892,0.000671892,0.000671892
9,47.0216,1.17174,1.48951,1.23563,0.57595,0.5,0.82833,0.56279,1.52129,2.66572,1.67847,0.000740608,0.000740608,0.000740608
10,51.946,1.02862,1.21567,1.1229,0.61023,0.83069,0.82833,0.59892,1.05782,2.73297,1.445,0.000805364,0.000805364,0.000805364
11,56.4858,1.10079,1.24137,1.21145,0.61023,0.83069,0.82833,0.59892,1.05782,2.73297,1.445,0.00086616,0.00086616,0.00086616
12,61.5727,1.12161,1.38276,1.29655,1,0.91681,0.995,0.53233,1.34755,2.54933,1.51827,0.000922996,0.000922996,0.000922996
13,67.0324,1.10574,1.22676,1.15187,1,0.91681,0.995,0.53233,1.34755,2.54933,1.51827,0.000975872,0.000975872,0.000975872
14,71.8381,1.1691,1.3935,1.19871,1,0.91681,0.995,0.53233,1.34755,2.54933,1.51827,0.00102479,0.00102479,0.00102479
15,77.1837,1.09497,1.24078,1.18254,0.7587,0.5,0.695,0.50575,1.44008,2.58863,1.58039,0.00106974,0.00106974,0.00106974
16,82.1899,1.1022,1.37042,1.17663,0.7587,0.5,0.695,0.50575,1.44008,2.58863,1.58039,0.00111074,0.00111074,0.00111074
17,86.8455,1.167,1.2844,1.2604,0.7587,0.5,0.695,0.50575,1.44008,2.58863,1.58039,0.00114778,0.00114778,0.00114778
18,92.2385,1.00314,1.26054,1.2148,0.66605,0.99814,0.82833,0.51354,1.27032,2.38293,1.74282,0.00118085,0.00118085,0.00118085
19,97.5366,1.03957,1.22266,1.17713,0.66605,0.99814,0.82833,0.51354,1.27032,2.38293,1.74282,0.00120997,0.00120997,0.00120997
20,103.064,1.07755,1.12016,1.21728,0.66605,0.99814,0.82833,0.51354,1.27032,2.38293,1.74282,0.00123512,0.00123512,0.00123512
